slug,中文名,英文名,角色,色调,色系,出处,序号,HEX,R,G,B,RGB,L*,C*,h°,白底对比度,平滑序,区分度序,色相序,明度序,色盲等级,色盲安全,深色变体,浅色变体,纸色bg,墨色ink
asuka-vermilion,明日香 · 朱赤,Asuka · Vermilion Red,明日香,朱赤,红,新世纪福音战士,1,#E63B2A,230,59,42,"230,59,42",52.0,80.9,37.6,4.18,1,1,3,4,B,是,#B40009,#FF8168,#FFF2EF,#55231A
asuka-vermilion,明日香 · 朱赤,Asuka · Vermilion Red,明日香,朱赤,红,新世纪福音战士,2,#8D1316,141,19,22,"141,19,22",29.9,58.6,34.0,9.39,2,3,1,6,B,是,#570000,#AF5044,#FFF2EF,#55231A
asuka-vermilion,明日香 · 朱赤,Asuka · Vermilion Red,明日香,朱赤,红,新世纪福音战士,3,#3B4760,59,71,96,"59,71,96",30.1,16.4,277.6,9.31,3,5,5,5,B,是,#18263D,#656D82,#FFF2EF,#55231A
asuka-vermilion,明日香 · 朱赤,Asuka · Vermilion Red,明日香,朱赤,红,新世纪福音战士,4,#BFB6B0,191,182,176,"191,182,176",74.6,4.7,63.1,1.99,4,6,6,1,B,否,#978E88,#EAE3DE,#FFF2EF,#55231A
asuka-vermilion,明日香 · 朱赤,Asuka · Vermilion Red,明日香,朱赤,红,新世纪福音战士,5,#FF9C88,255,156,136,"255,156,136",74.1,43.6,37.0,2.03,5,2,2,2,B,是,#D37461,#FFDBD3,#FFF2EF,#55231A
asuka-vermilion,明日香 · 朱赤,Asuka · Vermilion Red,明日香,朱赤,红,新世纪福音战士,6,#DF9730,223,151,48,"223,151,48",68.0,64.2,73.1,2.44,6,4,4,3,B,否,#B17100,#FFC887,#FFF2EF,#55231A
hutao-plum,胡桃 · 绯梅,Hu Tao · Plum Crimson,胡桃,绯梅,红,原神,1,#C74E4D,199,78,77,"199,78,77",49.7,54.7,28.2,4.54,1,1,2,4,B,是,#9B232B,#E7837D,#FCF3F2,#4D2826
hutao-plum,胡桃 · 绯梅,Hu Tao · Plum Crimson,胡桃,绯梅,红,原神,2,#792C3D,121,44,61,"121,44,61",29.9,35.8,11.4,9.37,2,3,1,6,B,是,#52011D,#9A5A65,#FCF3F2,#4D2826
hutao-plum,胡桃 · 绯梅,Hu Tao · Plum Crimson,胡桃,绯梅,红,原神,3,#49435F,73,67,95,"73,67,95",30.1,18.2,300.7,9.33,3,4,5,5,B,是,#27223C,#706A81,#FCF3F2,#4D2826
hutao-plum,胡桃 · 绯梅,Hu Tao · Plum Crimson,胡桃,绯梅,红,原神,4,#DE9476,222,148,118,"222,148,118",68.0,36.7,48.0,2.44,4,2,3,3,B,是,#B36D50,#FFC5AD,#FCF3F2,#4D2826
hutao-plum,胡桃 · 绯梅,Hu Tao · Plum Crimson,胡桃,绯梅,红,原神,5,#BCB6AF,188,182,175,"188,182,175",74.3,4.4,78.6,2.01,5,6,6,1,B,是,#948E87,#E8E3DD,#FCF3F2,#4D2826
hutao-plum,胡桃 · 绯梅,Hu Tao · Plum Crimson,胡桃,绯梅,红,原神,6,#D5B326,213,179,38,"213,179,38",73.9,69.5,90.8,2.04,6,5,4,2,B,是,#A88C00,#FFE083,#FCF3F2,#4D2826
ponyo-coral,波妞 · 珊瑚,Ponyo · Coral Red,波妞,珊瑚,红,崖上的波妞,1,#ED3124,237,49,36,"237,49,36",52.2,86.9,37.5,4.15,1,1,2,4,A,是,#B50009,#FF826A,#FFF2EF,#572218
ponyo-coral,波妞 · 珊瑚,Ponyo · Coral Red,波妞,珊瑚,红,崖上的波妞,2,#A12044,161,32,68,"161,32,68",36.0,54.6,12.9,7.49,2,3,1,6,A,是,#6D0026,#C05D6E,#FFF2EF,#572218
ponyo-coral,波妞 · 珊瑚,Ponyo · Coral Red,波妞,珊瑚,红,崖上的波妞,3,#FDA083,253,160,131,"253,160,131",74.6,43.2,43.2,1.99,3,2,3,1,A,是,#D1785C,#FFDDD2,#FFF2EF,#572218
ponyo-coral,波妞 · 珊瑚,Ponyo · Coral Red,波妞,珊瑚,红,崖上的波妞,4,#8C867E,140,134,126,"140,134,126",56.2,5.2,81.5,3.6,4,6,6,3,A,是,#666059,#B5B0AA,#FFF2EF,#572218
ponyo-coral,波妞 · 珊瑚,Ponyo · Coral Red,波妞,珊瑚,红,崖上的波妞,5,#92BFCA,146,191,202,"146,191,202",74.6,16.1,220.2,1.99,5,5,4,2,A,是,#6A97A2,#C7EAF3,#FFF2EF,#572218
ponyo-coral,波妞 · 珊瑚,Ponyo · Coral Red,波妞,珊瑚,红,崖上的波妞,6,#2284B1,34,132,177,"34,132,177",51.9,33.6,249.7,4.2,6,4,5,5,A,是,#005D82,#72ACD1,#FFF2EF,#572218
chihiro-vermilion-fern,千寻 · 朱绿,Chihiro · Vermilion & Fern,千寻,朱绿,红,千与千寻,1,#C6402E,198,64,46,"198,64,46",46.8,65.9,37.6,5.03,1,1,1,4,C,是,#990A0B,#E77863,#FDF3F0,#50271F
chihiro-vermilion-fern,千寻 · 朱绿,Chihiro · Vermilion & Fern,千寻,朱绿,红,千与千寻,2,#FD9E81,253,158,129,"253,158,129",74.1,44.1,42.9,2.02,2,2,2,2,C,是,#D1765A,#FFDBD0,#FDF3F0,#50271F
chihiro-vermilion-fern,千寻 · 朱绿,Chihiro · Vermilion & Fern,千寻,朱绿,红,千与千寻,3,#BBB6AD,187,182,173,"187,182,173",74.2,5.2,88.2,2.02,3,6,5,1,C,否,#938E85,#E7E3DB,#FDF3F0,#50271F
